#interaction	Egene1	Egene2	dir	sign	biogrid	pubmed
Ubiquitination	E4193	E8650	1	0	biogrid	pmids:12646252:22337874:16678796:18172499
Ubiquitination	E10273	E2977	1	0	biogrid	pmids:17873020
Demethylation	E23133	E8359	1	0	biogrid	pmids:20622853
Demethylation	E23133	E8350	1	0	biogrid	pmids:20548336:20208542:20622853:20346720:20531378:20421419
Sumoylation	E7329	E672	1	0	biogrid	pmids:20016594
Phosphorylation	E898	E3005	1	0	biogrid	pmids:17361108
Phosphorylation	E898	E3009	1	0	biogrid	pmids:19318554:15670215:15514162
Ubiquitination	E11060	E7316	1	0	biogrid	pmids:21139048:17719543:22496338:21890473:19343052
Dephosphorylation	E5801	E5594	1	0	biogrid	pmids:10419510
Ubiquitination	E7706	E23586	1	0	biogrid	pmids:17392790
Deacetylation	E10013	E7846	1	0	biogrid	pmids:12486003:12024216:12606581:19961433
Phosphorylation	E3717	E10419	1	0	biogrid	pmids:21316606
Ubiquitination	E10206	E7316	1	0	biogrid	pmids:21139048:21906983:21333377:17314412
Phosphorylation	E1457	E10661	1	0	biogrid	pmids:9722526
Ubiquitination	E79960	E1499	1	0	biogrid	pmids:18806787
Phosphorylation	E5595	E27429	1	0	biogrid	pmids:17906618
Ubiquitination	E55070	E10477	1	0	biogrid	pmids:17452440
Deubiquitination	E8239	E5830	1	0	biogrid	pmids:22371489
Phosphorylation	E3654	E8290	1	0	biogrid	pmids:18276832
Phosphorylation	E5292	E4193	1	0	biogrid	pmids:18467333:19166854
Phosphorylation	E891	E3024	1	0	biogrid	pmids:11836499:9885575:8397206:10362260:8397207
Phosphorylation	E2048	E596	1	0	biogrid	pmids:15225643
Ubiquitination	E997	E4792	1	0	biogrid	pmids:20347421
Phosphorylation	E5566	E11214	1	0	biogrid	pmids:15383279
Ubiquitination	E55823	E23163	1	0	biogrid	pmids:16996030
Phosphorylation	E5566	E55869	1	0	biogrid	pmids:12082111
Ubiquitination	E51588	E22954	1	0	biogrid	pmids:16816390
Phosphorylation	E3702	E3937	1	0	biogrid	pmids:15388330:12190313:10636929
Ubiquitination	E23327	E7316	1	0	biogrid	pmids:21890473:22496338:20064473:19343052:18498246:21139048:21987572:21906983
Ubiquitination	E246184	E9232	1	0	biogrid	pmids:20080579
Ubiquitination	E90025	E90025	1	0	biogrid	pmids:15749827
Phosphorylation	E6885	E5608	1	0	biogrid	pmids:11460167:10838074:16893890:20932476:14633987:15590691:19675569:10094049:17384642:15764709:12609980:12242293
Deubiquitination	E57646	E5320	1	0	biogrid	pmids:22118674
Phosphorylation	E1457	E3576	1	0	biogrid	pmids:10764593
Demethylation	E23135	E8350	1	0	biogrid	pmids:17713478
Dephosphorylation	E5524	E596	1	0	biogrid	pmids:15225643
Phosphorylation	E6788	E92597	1	0	biogrid	pmids:19919647
Ubiquitination	E10273	E4842	1	0	biogrid	pmids:15466472:20729196
Phosphorylation	E5568	E6262	1	0	biogrid	pmids:10830164
Methylation	E3276	E10236	1	0	biogrid	pmids:12183049
Ubiquitination	E64326	E64326	1	0	biogrid	pmids:12615916:21135113:16931761
Ubiquitination	E51529	E9232	1	0	biogrid	pmids:20080579:19475398
Phosphorylation	E8600	E10657	1	0	biogrid	pmids:10635328
Acetylation	E55140	E8359	1	0	biogrid	pmids:11818576
Phosphorylation	E5578	E9464	1	0	biogrid	pmids:14636580
Phosphorylation	E1459	E5728	1	0	biogrid	pmids:12297295
Ubiquitination	E29882	E9232	1	0	biogrid	pmids:20080579:22193957
Phosphorylation	E6789	E23411	1	0	biogrid	pmids:21212262
Ubiquitination	E57154	E3622	1	0	biogrid	pmids:20621832
Ubiquitination	E10075	E4609	1	0	biogrid	pmids:17314511:16269333
Phosphorylation	E5605	E5605	1	0	biogrid	pmids:8226933
Deacetylation	E3065	E51053	1	0	biogrid	pmids:22318606
