#COLLAPSE=False
#dataset	gene_id	complex_id	dir	sign
reactome_cx	E6637	REACT10955	1	1
reactome_cx	E6636	REACT10955	1	1
reactome_cx	E3718	REACT27865	1	1
reactome_cx	E2185	REACT27865	1	1
reactome_cx	E9218	REACT19722	1	1
reactome_cx	E9217	REACT19722	1	1
reactome_cx	E151742	REACT19722	1	1
reactome_cx	E5364	REACT19721	1	1
reactome_cx	E4233	REACT19721	1	1
reactome_cx	E27289	REACT19721	1	1
reactome_cx	E10507	REACT19721	1	1
reactome_cx	E3481	REACT17076	1	1
reactome_cx	E3485	REACT17076	1	1
reactome_cx	E1129	REACT17077	1	1
reactome_cx	E84289	REACT173189	1	1
reactome_cx	E23522	REACT173189	1	1
reactome_cx	E727773	REACT173189	1	1
reactome_cx	E23774	REACT173189	1	1
reactome_cx	E7862	REACT173189	1	1
reactome_cx	E7994	REACT173189	1	1
reactome_cx	E27154	REACT173189	1	1
reactome_cx	E60	REACT148237	1	1
reactome_cx	E71	REACT148237	1	1
reactome_cx	E4644	REACT148237	1	1
reactome_cx	E5362	REACT20191	1	1
reactome_cx	E55558	REACT20191	1	1
reactome_cx	E5361	REACT20191	1	1
reactome_cx	E8829	REACT20191	1	1
reactome_cx	E2534	REACT20191	1	1
reactome_cx	E10371	REACT20191	1	1
reactome_cx	E7533	REACT148230	1	1
reactome_cx	E4641	REACT148239	1	1
reactome_cx	E60	REACT148239	1	1
reactome_cx	E808	REACT148239	1	1
reactome_cx	E71	REACT148239	1	1
reactome_cx	E5898	REACT148239	1	1
reactome_cx	E801	REACT148239	1	1
reactome_cx	E805	REACT148239	1	1
reactome_cx	E1437	REACT24838	1	1
reactome_cx	E3717	REACT24838	1	1
reactome_cx	E1438	REACT24838	1	1
reactome_cx	E1439	REACT24838	1	1
reactome_cx	E349565	REACT11927	1	1
reactome_cx	E375	REACT11922	1	1
reactome_cx	E2027	REACT4845	1	1
reactome_cx	E3568	REACT24833	1	1
reactome_cx	E3717	REACT24833	1	1
reactome_cx	E3567	REACT24833	1	1
reactome_cx	E1439	REACT24833	1	1
reactome_cx	E388	REACT24831	1	1
reactome_cx	E391	REACT24831	1	1
reactome_cx	E5879	REACT24831	1	1
reactome_cx	E998	REACT24831	1	1
reactome_cx	E387	REACT24831	1	1
reactome_cx	E328	REACT2384	1	1
reactome_cx	E5423	REACT2384	1	1
reactome_cx	E25759	REACT2380	1	1
reactome_cx	E6654	REACT2380	1	1
reactome_cx	E6464	REACT2380	1	1
reactome_cx	E53358	REACT2380	1	1
reactome_cx	E2885	REACT2380	1	1
reactome_cx	E51085	REACT2382	1	1
reactome_cx	E6945	REACT2382	1	1
reactome_cx	E4088	REACT124835	1	1
reactome_cx	E10273	REACT124835	1	1
reactome_cx	E29974	REACT2389	1	1
reactome_cx	E339	REACT2389	1	1
reactome_cx	E9402	REACT148093	1	1
reactome_cx	E3937	REACT148093	1	1
reactome_cx	E3672	REACT20443	1	1
