#interaction	gene1	gene2	dir	sign	pubmed
hiv_human	E155945	E5902	0	0	pmids:22190034
hiv_human	E155945	E5903	0	0	pmids:22190034
hiv_human	E155971	E7419	0	0	pmids:22190034
hiv_human	E155971	E7417	0	0	pmids:22190034
hiv_human	E155971	E7416	0	0	pmids:22190034
hiv_human	E155348	E27335	0	0	pmids:22190034
hiv_human	E155459	E79718	0	0	pmids:22190034
hiv_human	E118487	E155908	0	0	pmids:22190034
hiv_human	E155945	E57674	0	0	pmids:22190034
hiv_human	E10075	E155459	0	0	pmids:22190034
hiv_human	E155971	E55658	0	0	pmids:22190034
hiv_human	E155807	E7841	0	0	pmids:22190034
hiv_human	E155945	E3384	0	0	pmids:22190034
hiv_human	E155030	E4659	0	0	pmids:22190034
hiv_human	E155971	E9445	0	0	pmids:22190034
hiv_human	E155945	E23644	0	0	pmids:22190034
hiv_human	E155459	E5597	0	0	pmids:22190034
hiv_human	E10452	E155971	0	0	pmids:22190034
hiv_human	E155945	E25814	0	0	pmids:22190034
hiv_human	E155945	E3032	0	0	pmids:22190034
hiv_human	E155348	E83475	0	0	pmids:22190034
hiv_human	E155945	E3030	0	0	pmids:22190034
hiv_human	E155348	E80308	0	0	pmids:22190034
hiv_human	E155459	E7266	0	0	pmids:22190034
hiv_human	E155971	E9789	0	0	pmids:22190034
hiv_human	E155945	E8454	0	0	pmids:22190034
hiv_human	E114880	E155348	0	0	pmids:22190034
hiv_human	E155871	E54876	0	0	pmids:22190034
hiv_human	E155348	E2288	0	0	pmids:22190034
hiv_human	E155348	E7840	0	0	pmids:22190034
hiv_human	E155348	E23369	0	0	pmids:22190034
hiv_human	E10987	E155807	0	0	pmids:22190034
hiv_human	E155348	E23365	0	0	pmids:22190034
hiv_human	E10549	E155971	0	0	pmids:22190034
hiv_human	E155945	E51706	0	0	pmids:22190034
hiv_human	E155348	E51020	0	0	pmids:22190034
hiv_human	E155459	E23304	0	0	pmids:22190034
hiv_human	E155030	E84991	0	0	pmids:22190034
hiv_human	E155971	E5694	0	0	pmids:22190034
hiv_human	E155971	E489	0	0	pmids:22190034
hiv_human	E155871	E27125	0	0	pmids:22190034
hiv_human	E155908	E222068	0	0	pmids:22190034
hiv_human	E155871	E56257	0	0	pmids:22190034
hiv_human	E155908	E3550	0	0	pmids:22190034
